horizon,model,provider,api_model_id,asked_on,samples,humanity_gone_pct,might_perish_pct,total_exposure_pct,bootstrap_standard_error
long-term,Claude Fable 5.1,Anthropic,claude-fable-5-1,2026-09-01,20,23,19,42,0.86
long-term,Claude Fable 5,Anthropic,claude-fable-5,2026-08-25,20,21,23,44,1.13
long-term,Claude Opus 5,Anthropic,claude-opus-5,2026-08-25,20,32,16,48,1.04
long-term,GPT-6 Astra,OpenAI,gpt-6-astra,2026-09-05,20,29,21,50,0.83
long-term,GPT-5.6 Sol,OpenAI,gpt-5.6-sol,2026-08-25,20,30,30,60,0.89
long-term,GPT-5.5,OpenAI,gpt-5.5,2026-08-25,20,31,17,48,1.52
long-term,GPT-5.4,OpenAI,gpt-5.4,2026-08-25,20,42,19,61,0.74
long-term,Gemini 3.1 Pro,Google,gemini-3.1-pro-preview,2026-08-25,20,25,34,59,1.18
long-term,Gemini 3.8 Flash,Google,gemini-3.8-flash,2026-09-02,20,29,27,56,1.08
long-term,Gemini 3.7 Flash,Google,gemini-3.7-flash,2026-08-25,20,30,30,60,0.96
long-term,Grok 4.6,xAI,grok-4.6,2026-08-25,20,26,17,43,1.28
long-term,Grok 4.5,xAI,grok-4.5,2026-08-25,20,31,18,49,1.07
long-term,Muse Spark 1.3,Meta,muse-spark-1.3,2026-09-02,20,19,35,54,2.15
long-term,Muse Spark 1.2,Meta,muse-spark-1.2,2026-08-25,20,19,32,51,1.61
long-term,Muse Spark 1.1,Meta,muse-spark-1.1,2026-08-25,20,19,36,55,1.27
long-term,DeepSeek V4 Pro,DeepSeek,deepseek-v4-pro,2026-08-27,20,27,25,52,2.2
long-term,DeepSeek V4 Flash,DeepSeek,deepseek-v4-flash,2026-08-27,20,25,22,47,1.72
long-term,Mistral Medium 3.5,Mistral,mistral-medium-3.5,2026-08-27,20,20,22,42,1.27
long-term,Mistral Medium 3,Mistral,mistral-medium-3,2026-08-27,20,20,22,42,2.33
long-term,Kimi K3,Moonshot,kimi-k3,2026-08-27,20,21,19,40,1.46
long-term,Kimi K2.6,Moonshot,kimi-k2.6,2026-08-27,20,29,18,47,1.95
2030,Claude Fable 5.1,Anthropic,claude-fable-5-1,2026-09-10,20,2,3,5,0.24
2030,Claude Opus 5,Anthropic,claude-opus-5,2026-09-10,20,2,3,5,0.53
